,Sentiment,User_flr,Text
2020-07-09 00:56:26,1,108,@tcarterr2 $dis was up like 3% today because of this news
2020-07-09 01:34:12,1,188,"$DIS (7/17 120c) &amp; 7/10 ITMc ideal Greeks, $FB (7/17 ITMc), $MSFT (7/17 215c), $WMT (7/10 &amp; 7/17 OTMc both good Greeks) 2/2"
2020-07-09 03:31:04,1,4934,$DIS PSAR had a bullish flip on the chart yesterday... Very bullish signal here... https://t.co/2IxmRNGtBN
2020-07-09 04:32:10,-1,10663,"RT @f37stockx: Jobless claims report after 4 hours💎.
$DOW #DOW $DIA #DIA $BA #BA $MAIN #MAIN $M #M $AAPL #AAPL $TSLA #TSLA $FX #FX $FB #FB…"
2020-07-09 07:47:37,-1,908,@CJQuarlena @Youtherehi2 Colin Kaepernick now supports the racist act blackface. Colin needs to take a knee on jimmy kimmel and joy behar before ever cashing a Disney check. I've already sold all my $Dis and cancelled everything @WaltDisneyCo
2020-07-09 08:09:36,1,1435,"$DIS Sentiment is mostly positive right now.
News mentions: positive (18), negative (4), neutral (9)
Sentiment score: +0.968 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8"
2020-07-09 08:23:04,1,211,MORNING!! Looks like our hot streak will continue this morning with $JD  trading at around $60 these calls will be a double and then some!! $SNAP and $DIS also slightly up so we should be green on those!! Great start already if market holds.
2020-07-09 08:55:06,-1,10663,"RT @f37stockx: Weekly jobless claims total 1.314 million, vs 1.39 million estimate💎.
$DOW #DOW $DIA #DIA $M #M $MAIN #MAIN $BA #BA $AAPL #A…"
2020-07-09 09:01:24,1,2691,$DIS was able to hold the 116 level overnight and is currently at 117. If its able to break through 118 then I would consider going long on it into 120 and if 120 holds the next resistance level is at 122. I am looking at the 7/17 120 calls.
2020-07-09 09:12:17,-1,6320,"RT @f37stockx: Weekly jobless claims total 1.314 million, vs 1.39 million estimate💎.
$DOW #DOW $DIA #DIA $M #M $MAIN #MAIN $BA #BA $AAPL #A…"
2020-07-09 09:36:37,-1,741,"RT @ActorsEquity: There have been 104,780 new coronavirus cases in Florida since Actors' Equity called on @Disney to delay opening until re…"
2020-07-09 09:53:42,1,261,"RT @BradshawForbes1: Great combinations for business, or fun:

https://t.co/myOB99D19L

https://t.co/OJKLsLNRcB

https://t.co/Y0u18zDaLp

#…"
2020-07-09 10:02:37,1,447,117.58 remains key area on $dis good pivot
2020-07-09 10:05:34,1,344,RT @IqResearch: Q BioMed (QBIO) up after CEO’s interview. Says firm’s drug hitting markets ahead of schedule. - [ ] $GE $AMD $INO $PBR $F $…
2020-07-09 10:07:24,1,46,"FREE STOCK TRADE ALERTS:

$DIS Buy shares $116.5 - $117.5. Target $131. Stoploss $112
$WYNN Buy shares $72.02. Target $110. Stoploss $66.80
$UBer Buy shares $33.37. Target $49. Stoploss $29.80

$SPY #StockMarket #daytrading #daytrader #OptionsTrading"
2020-07-09 10:09:54,1,211,All out $dis at 3.4 another great move! https://t.co/YsBwZHyYHy
2020-07-09 10:19:33,1,3581,$DIS load up 140 soon https://t.co/khhX7W3YV1
2020-07-09 10:20:40,1,344,"RT @MinteractApp: Today Top Flow in #StockMarket, Buy Flow and Sell Flow $IWF $SPY $JD $AMD $QQQ $COST $SQ $SLV $MINT $LQD $BABA $AAPL $MSF…"
