,EST,User_name,Text,Sentiment,Created,User_flr
2020-05-12 21:41:18,2020-05-12 21:41:18-04:00,arxiv_cscl,Reassessing Claims of Human Parity and Super-Human Performance in Machine Translation at WMT 2019 https://t.co/9GpdlaE1Be,-1,2020-05-13 01:41:18,3509
2020-05-12 21:51:44,2020-05-12 21:51:44-04:00,BrundageBot,Reassessing Claims of Human Parity and Super-Human Performance in Machine Translation at WMT 2019. Antonio Toral https://t.co/lkudmoLpkV,-1,2020-05-13 01:51:44,3889
2020-05-12 22:06:26,2020-05-12 22:06:26-04:00,Liquid_Quants,We've been losing small businesses since Walmart $WMT hollowed out middle America. #COVID19 may be the fatal blow. Let's hope not. https://t.co/u8JOqqgHe9,-1,2020-05-13 02:06:26,246
2020-05-12 23:17:01,2020-05-12 23:17:01-04:00,mridul_wmt,"US Marshals Service Breach Exposed Personal Data of 387,000 Prisoners https://t.co/5VqmeTSfx4",-1,2020-05-13 03:17:01,338
2020-05-13 00:45:32,2020-05-13 00:45:32-04:00,Gambiste1,RT @Liquid_Quants: We've been losing small businesses since Walmart $WMT hollowed out middle America. #COVID19 may be the fatal blow. Let's…,-1,2020-05-13 04:45:32,4946
2020-05-13 01:07:02,2020-05-13 01:07:02-04:00,1MinuteStock,Wondering about risks of $WMT? The 63-day volatility is 26.19% https://t.co/2lQZbfZaIt,-1,2020-05-13 05:07:02,3981
2020-05-13 03:07:21,2020-05-13 03:07:21-04:00,arxiv_cs_cl,https://t.co/coe0PvSa0H Reassessing Claims of Human Parity and Super-Human Performance in Machine Translation at WMT 2019. (arXiv:2005.05738v1 [https://t.co/HW5RVw4UkE]) #NLProc,-1,2020-05-13 07:07:21,4206
2020-05-13 05:53:47,2020-05-13 05:53:47-04:00,SprawlBusters,"15-YEAR WALMART LAWYER FILES LAWSUIT AGAINST COMPANY. Says Walmart “attempted to induce (him) to change a 5-year-old memo to illegally, fraudulently, and unethically reduce (WMT’s) risk &amp; liability” in its Mexican bribery scandal.
https://t.co/skAMEOJMKF https://t.co/t4KdHcVmpf",-1,2020-05-13 09:53:47,247
2020-05-13 05:56:05,2020-05-13 05:56:05-04:00,directcoops,"[DLBN] 15-YEAR WALMART LAWYER FILES LAWSUIT AGAINST COMPANY. Says Walmart “attempted to induce (him) to change a 5-year-old memo to illegally, fraudulently, and unethically reduce (WMT’s) risk &amp; liability” in its Mexican bribery scandal.[ALNORMAN]
https://t.co/t9KARNCDB7 https://t.co/gdJ8R0t8e9",-1,2020-05-13 09:56:05,509
2020-05-13 06:04:30,2020-05-13 06:04:30-04:00,SprawlBusters,"COVID FORCES WALMART TO CANCEL ITS  GLITZY JUNE 3 ANNUAL MEETING &amp; HOLD IT ON THE INTERNET. Will elect 2 Waltons to the board &amp; defeat 4 shareholder proposals, including allowing a WMT worker to sit on the Board &amp; a report on workplace sexual harassment. 
https://t.co/iaaM5eVWoy https://t.co/yojnlMHuuv",-1,2020-05-13 10:04:30,247
2020-05-13 06:09:03,2020-05-13 06:09:03-04:00,directcoops,"[DLBN] COVID FORCES WMT TO CANCEL ITS JUNE 3 ANNUAL 
MEETING &amp; HOLD IT ON THE INTERNET. Will elect 2 Waltons to the board &amp; kill 4 shareholder proposals, including adding a WMT worker to the Board &amp; a report on workplace sexual harassment. [ALNORMAN]
https://t.co/Bl1AQpjegl https://t.co/5tKGFUsBrk",-1,2020-05-13 10:09:03,509
2020-05-13 07:28:27,2020-05-13 07:28:27-04:00,Tickeron,"$WMT enters a Downtrend because Momentum Indicator dropped below the 0 level on April 28, 2020. View odds for this and other indicators: https://t.co/muZ2sDst45 #Walmart #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/bKM4rmGrMB",-1,2020-05-13 11:28:27,3520
2020-05-13 07:48:27,2020-05-13 07:48:27-04:00,zerofiltertruth,"@PMilak @yesitsmeagainn Eddie’s regular trolling of $BBBY longs (including us) is highly-entertaining / priceless 

Please don’t discourage him ! 🤪

💦 62% ❤️ short 💦 

#ShortSqueeze #CrowdedShort 
@BedBathBeyond $XRT $RTH $TGT $WMT $COST $BJ",-1,2020-05-13 11:48:27,508
2020-05-13 08:49:52,2020-05-13 08:49:52-04:00,TheStockGuyTV,"$ACC bad news

$TSN buyers showing up?

$RCL good news, sector may move but $NCLH downgraded

$SIX taking reservations 

$NVDA price target change 

$BA orders get suspended 

$WMT expects big numbers

$PFE moves forward on vaccine

$JCP financing 

$TMO COVID test

Stay green",-1,2020-05-13 12:49:52,3787
